City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Poum,NC,2022-10-27 03:04:01,-20.2333,164.0167,77.81,73,11,2.62
134,Samarai,PG,2022-10-27 03:04:02,-10.6167,150.6667,84.49,63,4,10.8
135,Thinadhoo,MV,2022-10-27 03:04:02,0.5333,72.9333,82.83,73,87,13.4
136,Tuatapere,NZ,2022-10-27 03:05:03,-46.1333,167.6833,50.18,96,100,5.32
137,Faya,SA,2022-10-27 03:05:04,18.3851,42.4509,50.52,33,78,2.13
138,Banda Aceh,ID,2022-10-27 03:00:18,5.5577,95.3222,82.47,74,100,11.14
139,Esperance,AU,2022-10-27 03:05:04,-33.8667,121.9,60.13,51,53,10.4
140,Provideniya,RU,2022-10-27 03:05:05,64.3833,-173.3,24.91,58,100,7.0
141,Phan Thiet,VN,2022-10-27 03:05:05,10.9333,108.1,80.67,82,100,2.55
142,Kazachinskoye,RU,2022-10-27 03:05:06,57.6953,93.2761,33.1,58,97,3.09
143,Tilichiki,RU,2022-10-27 03:05:06,60.4667,166.1,27.52,72,50,7.38
144,Leningradskiy,RU,2022-10-27 03:05:07,69.3833,178.4167,7.79,95,100,7.74
145,Wukari,NG,2022-10-27 03:05:07,7.85,9.7833,74.14,79,94,2.26
146,Caxito,AO,2022-10-27 03:04:21,-8.5785,13.6643,74.55,89,39,2.62
147,Bambous Virieux,MU,2022-10-27 03:05:08,-20.3428,57.7575,75.45,73,40,13.8
148,Upernavik,GL,2022-10-27 03:05:09,72.7868,-56.1549,19.94,95,100,6.42
149,Havelock,US,2022-10-27 03:05:09,34.8791,-76.9013,67.98,95,0,0.0
150,Casma,CL,2022-10-27 03:05:10,-41.0082,-73.1244,42.4,94,3,1.79
151,Vao,NC,2022-10-27 03:05:10,-22.6667,167.4833,74.14,81,10,13.18
152,Bengkulu,ID,2022-10-27 03:05:11,-3.8004,102.2655,80.69,75,100,5.5
153,Qasigiannguit,GL,2022-10-27 03:05:12,68.8193,-51.1922,30.45,83,100,4.29
154,Longyearbyen,SJ,2022-10-27 03:05:12,78.2186,15.6401,13.84,79,20,9.22
155,Sinnamary,GF,2022-10-27 03:05:13,5.3833,-52.95,78.06,88,96,10.36
156,Chuy,UY,2022-10-27 03:05:14,-33.6971,-53.4616,63.09,89,99,14.61
157,Nabire,ID,2022-10-27 03:05:15,-3.3667,135.4833,85.84,68,99,5.77
158,Iqaluit,CA,2022-10-27 03:05:16,63.7506,-68.5145,35.33,80,100,11.5
159,Kodiak,US,2022-10-27 03:05:17,57.79,-152.4072,42.31,61,100,18.41
160,Honiara,SB,2022-10-27 03:05:18,-9.4333,159.95,84.07,74,83,1.45
161,Thompson,CA,2022-10-27 03:05:18,55.7435,-97.8558,20.01,96,30,5.46
162,Katsuura,JP,2022-10-27 03:05:19,35.1333,140.3,63.12,53,38,4.5
163,Castleblayney,IE,2022-10-27 03:05:20,54.1167,-6.7333,54.81,92,100,10.29
164,Toamasina,MG,2022-10-27 03:00:42,-18.1667,49.3833,70.61,79,57,3.24
165,Homer,US,2022-10-27 03:05:20,59.6425,-151.5483,35.8,76,0,3.44
166,Saint Anthony,US,2022-10-27 03:05:21,45.0205,-93.218,45.19,72,0,6.91
167,Ancud,CL,2022-10-27 03:05:21,-41.8697,-73.8203,48.79,91,17,11.5
168,Walvis Bay,NA,2022-10-27 03:05:22,-22.9575,14.5053,60.1,95,3,2.26
169,Gunjur,GM,2022-10-27 03:05:23,13.2019,-16.7339,75.27,100,0,0.0
170,San-Pedro,CI,2022-10-27 03:05:24,4.7485,-6.6363,76.69,89,54,0.94
171,Norman Wells,CA,2022-10-27 03:05:24,65.282,-126.8329,19.06,87,99,8.19
172,Hambantota,LK,2022-10-27 03:05:25,6.1241,81.1185,75.54,100,86,1.14
173,Kieta,PG,2022-10-27 03:05:25,-6.2167,155.6333,83.8,74,100,1.92
174,New Norfolk,AU,2022-10-27 03:05:26,-42.7826,147.0587,58.71,88,100,2.08
175,Mirnyy,RU,2022-10-27 03:05:26,62.5353,113.9611,30.24,68,100,11.01
176,Ternate,ID,2022-10-27 03:05:27,0.8,127.4,85.39,67,90,8.03
177,Muskegon,US,2022-10-27 03:02:23,43.3,-86.1334,41.34,86,100,0.0
178,Fortuna,US,2022-10-27 03:05:28,40.5982,-124.1573,52.66,84,99,1.99
179,Caernarfon,GB,2022-10-27 03:05:28,53.1413,-4.2702,58.8,77,100,16.11
180,Ocumare Del Tuy,VE,2022-10-27 03:05:29,10.1165,-66.7761,78.6,99,100,2.35
181,Pacific Grove,US,2022-10-27 03:05:29,36.6177,-121.9166,58.01,81,0,21.99
182,Kavaratti,IN,2022-10-27 03:05:30,10.5669,72.642,81.57,58,3,8.3
183,Muisne,EC,2022-10-27 03:06:30,0.6,-80.0333,73.62,82,100,7.25
